호선,역명,출구번호,위도,경도
2,반월당2,15,35.86627,128.5922
2,반월당2,16,35.86602,128.5922
2,반월당2,17,35.86599,128.5916
2,반월당2,18,35.86618,128.5909
2,반월당2,19,35.86578,128.5908
2,반월당2,20,35.86565,128.5916
2,반월당2,21,35.86547,128.5926
2,반월당2,22,35.86532,128.5928
2,반월당2,23,35.86478,128.5932
2,경대병원,1,35.8635,128.6022
2,경대병원,2,35.86313,128.6021
2,경대병원,3,35.8629,128.6031
2,경대병원,4,35.86329,128.6032
2,대구은행,1,35.86,128.6138
2,대구은행,2,35.85961,128.6137
2,대구은행,3,35.85957,128.6145
2,대구은행,4,35.85997,128.6145
2,범어,1,35.85943,128.6245
2,범어,2,35.85901,128.6244
2,범어,3,35.85881,128.625
2,범어,4,35.85954,128.6251
2,범어,5,35.85882,128.6256
2,범어,6,35.8586,128.6272
2,범어,7,35.85874,128.6279
2,범어,8,35.85905,128.6292
2,범어,9,35.85908,128.6287
2,범어,10,35.85913,128.628
2,범어,11,35.85938,128.6269
2,수성구청,1,35.85903,128.6354
2,수성구청,2,35.85862,128.6354
2,수성구청,3,35.85863,128.6361
2,수성구청,4,35.85902,128.6362
2,만촌,1,35.85908,128.6445
2,만촌,2,35.8587,128.6445
2,만촌,3,35.8587,128.6454
2,만촌,4,35.85909,128.6454
2,담티,1,35.85517,128.6537
2,담티,2,35.85485,128.6534
2,담티,3,35.85448,128.6542
2,담티,4,35.85484,128.6544
2,연호,1,35.8469,128.6715
2,연호,2,35.84659,128.6712
2,연호,3,35.84626,128.6719
2,연호,4,35.84659,128.6721
2,수성알파시티,1,35.84298,128.6799
2,수성알파시티,2,35.84257,128.6793
2,수성알파시티,3,35.84196,128.6795
2,수성알파시티,4,35.84182,128.68
2,수성알파시티,5,35.84222,128.6806
2,고산,1,35.84316,128.6929
2,고산,2,35.84277,128.693
2,고산,3,35.84276,128.6936
2,고산,4,35.84316,128.6937
2,신매,1,35.84113,128.7047
2,신매,2,35.84076,128.7045
2,신매,3,35.84044,128.7047
2,신매,4,35.84036,128.705
2,신매,5,35.84057,128.7053
2,신매,6,35.84096,128.7054
2,신매,7,35.84126,128.705
2,사월,1,35.83731,128.7151
2,사월,2,35.83691,128.7151
2,사월,3,35.8367,128.7159
2,사월,4,35.83708,128.7161
2,정평,1,35.83437,128.7278
2,정평,2,35.834,128.7277
2,정평,3,35.83388,128.7287
2,정평,4,35.83425,128.7287
2,임당,1,35.83429,128.7406
2,임당,2,35.83393,128.7406
2,임당,3,35.83366,128.7409
2,임당,4,35.83367,128.7413
2,임당,5,35.83394,128.7417
2,임당,6,35.83429,128.7416
2,임당,7,35.83462,128.7412
2,임당,8,35.83457,128.7409
2,영남대,1,35.83631,128.7525
2,영남대,2,35.83591,128.7525
2,영남대,3,35.83593,128.7535
2,영남대,4,35.83644,128.7536
2,영남대,5,35.8367,128.7534
