호선,역명,출구번호,위도,경도
1,설화명곡,1,35.79898,128.4888
1,설화명곡,2,35.79848,128.4888
1,설화명곡,3,35.79833,128.489
1,설화명곡,4,35.79831,128.4896
1,설화명곡,5,35.79868,128.4901
1,설화명곡,6,35.79925,128.4904
1,설화명곡,7,35.7994,128.4903
1,설화명곡,8,35.79912,128.4891
1,화원,1,35.80432,128.5
1,화원,2,35.80389,128.4998
1,화원,3,35.80434,128.5008
1,화원,4,35.8046,128.5007
1,대곡,1,35.80951,128.5122
1,대곡,2,35.80922,128.5123
1,대곡,3,35.80946,128.5129
1,대곡,4,35.80972,128.5127
1,진천,1,35.81388,128.5223
1,진천,2,35.81362,128.5223
1,진천,3,35.81376,128.5231
1,진천,4,35.81401,128.5229
1,월배,1,35.81612,128.5299
1,월배,2,35.81594,128.5302
1,월배,3,35.81615,128.5306
1,월배,4,35.81639,128.5305
1,상인,1,35.81922,128.5373
1,상인,2,35.81904,128.5375
1,상인,3,35.81876,128.5377
1,상인,4,35.81867,128.5379
1,상인,5,35.81867,128.5383
1,상인,6,35.81898,128.5385
1,상인,7,35.81919,128.5379
1,상인,8,35.81945,128.5375
1,월촌,1,35.82381,128.5451
1,월촌,2,35.82353,128.5451
1,월촌,3,35.82336,128.5454
1,월촌,4,35.82341,128.5457
1,월촌,5,35.82354,128.5458
1,월촌,6,35.82383,128.5458
1,월촌,7,35.824,128.5455
1,월촌,8,35.82395,128.5452
1,송현,1,35.8308,128.5513
1,송현,2,35.83064,128.5516
1,송현,3,35.83133,128.5522
1,송현,4,35.8315,128.5519
1,서부정류장,1,35.83733,128.5568
1,서부정류장,2,35.83711,128.5569
1,서부정류장,3,35.83705,128.5575
1,대명,1,35.83945,128.5649
1,대명,2,35.83913,128.565
1,대명,3,35.83916,128.5655
1,대명,4,35.83947,128.5655
1,안지랑,1,35.83939,128.5739
1,안지랑,2,35.83908,128.5738
1,안지랑,3,35.83902,128.5746
1,안지랑,4,35.83934,128.5746
1,현충로,1,35.84066,128.5805
1,현충로,2,35.84044,128.5808
1,현충로,3,35.84072,128.5813
1,현충로,4,35.84097,128.5811
1,영대병원,1,35.84444,128.5883
1,영대병원,2,35.84434,128.5887
1,영대병원,3,35.8447,128.5889
1,교대,1,35.85075,128.5904
1,교대,2,35.85075,128.5908
