호선,역명,출구번호,위도,경도
1,교대,3,35.85118,128.5908
1,교대,4,35.8512,128.5904
1,명덕1,1,35.85734,128.5906
1,명덕1,2,35.85726,128.5905
1,명덕1,3,35.85675,128.5904
1,명덕1,4,35.85666,128.5904
1,명덕1,5,35.85717,128.5911
1,명덕1,6,35.85752,128.5912
1,명덕1,7,35.85762,128.5908
1,반월당1,1,35.86367,128.5931
1,반월당1,2,35.86366,128.5935
1,반월당1,3,35.86474,128.5935
1,반월당1,4,35.86503,128.5938
1,반월당1,5,35.86514,128.5944
1,반월당1,6,35.86508,128.5947
1,반월당1,7,35.86501,128.5951
1,반월당1,8,35.86495,128.5954
1,반월당1,9,35.86483,128.5961
1,반월당1,10,35.86517,128.5963
1,반월당1,11,35.86533,128.5954
1,반월당1,12,35.86554,128.5942
1,반월당1,13,35.86593,128.5937
1,반월당1,14,35.8661,128.5931
1,반월당1,15,35.86627,128.5922
1,반월당1,16,35.86602,128.5922
1,반월당1,17,35.86599,128.5916
1,반월당1,18,35.86618,128.5909
1,반월당1,19,35.86578,128.5908
1,반월당1,20,35.86565,128.5916
1,반월당1,21,35.86547,128.5926
1,반월당1,22,35.86532,128.5928
1,반월당1,23,35.86478,128.5932
1,중앙로,1,35.86987,128.5937
1,중앙로,2,35.87002,128.5939
1,중앙로,3,35.87198,128.5943
1,중앙로,4,35.87195,128.5941
1,대구역,1,35.87638,128.5969
1,대구역,2,35.87627,128.5968
1,대구역,3,35.87634,128.5977
1,대구역,4,35.87643,128.5975
1,칠성시장,1,35.87645,128.6042
1,칠성시장,2,35.87599,128.6045
1,칠성시장,3,35.87574,128.606
1,칠성시장,4,35.87605,128.606
1,신천,1,35.875,128.6172
1,신천,2,35.87464,128.6171
1,신천,3,35.87443,128.6172
1,신천,4,35.87423,128.6176
1,신천,5,35.8743,128.6179
1,신천,6,35.87461,128.618
1,신천,7,35.87485,128.618
1,신천,8,35.87508,128.6175
1,동대구역,1,35.87762,128.6272
1,동대구역,2,35.87713,128.6275
1,동대구역,3,35.87803,128.6277
1,동구청,1,35.88424,128.6319
1,동구청,2,35.88413,128.6321
1,동구청,3,35.88451,128.6325
1,동구청,4,35.88465,128.6322
1,아양교,1,35.88721,128.6396
1,아양교,2,35.88701,128.6398
1,아양교,3,35.88716,128.6402
1,아양교,4,35.88741,128.6401
1,동촌,1,35.88634,128.6505
1,동촌,2,35.88606,128.6501
1,동촌,3,35.88594,128.6503
1,동촌,4,35.88619,128.6507
1,해안,1,35.88377,128.6591
1,해안,2,35.88351,128.659
1,해안,3,35.88342,128.6596
1,해안,4,35.88369,128.6596
1,방촌,1,35.87992,128.6698
1,방촌,2,35.87966,128.6697
1,방촌,3,35.8795,128.6702
1,방촌,4,35.87976,128.6703
1,용계,1,35.8765,128.6812
1,용계,2,35.87625,128.6811
1,용계,3,35.87607,128.6817
1,용계,4,35.87631,128.6818
1,율하,1,35.87042,128.6923
1,율하,2,35.86961,128.692
1,율하,3,35.86919,128.6924
1,율하,4,35.86936,128.693
1,율하,5,35.86976,128.693
1,신기,1,35.86684,128.7022
1,신기,2,35.86653,128.7021
1,신기,3,35.86647,128.7027
1,신기,4,35.86677,128.7027
1,반야월,1,35.86611,128.7133
1,반야월,2,35.86585,128.7132
1,반야월,3,35.86584,128.714
1,반야월,4,35.86611,128.7139
1,각산,1,35.86812,128.7242
1,각산,2,35.86788,128.7243
1,각산,3,35.86806,128.7248
1,각산,4,35.86828,128.7246
1,안심,1,35.87136,128.7334
1,안심,2,35.87131,128.7331
1,안심,3,35.8711,128.7338
1,안심,4,35.8713,128.7344
1,안심,5,35.87155,128.7343
